"id","title","production_countries"
68726,"Pacific Rim","United States of America"
68726,"Pacific Rim","Canada"
38356,"Transformers: Dark of the Moon","United States of America"
217,"Indiana Jones and the Kingdom of the Crystal Skull","United States of America"
105864,"The Good Dinosaur","United States of America"
62177,"Brave","United States of America"
188927,"Star Trek Beyond","United States of America"
10681,"WALL·E","United States of America"
5174,"Rush Hour 3","United States of America"
14161,"2012","Canada"
14161,"2012","United States of America"
17979,"A Christmas Carol","United States of America"
76757,"Jupiter Ascending","United States of America"
258489,"The Legend of Tarzan","Canada"
258489,"The Legend of Tarzan","United Kingdom"
258489,"The Legend of Tarzan","United States of America"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","United Kingdom"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","United States of America"
246655,"X-Men: Apocalypse","United States of America"
155,"The Dark Knight","United Kingdom"
155,"The Dark Knight","United States of America"
14160,"Up","United States of America"
15512,"Monsters vs Aliens","United States of America"
1726,"Iron Man","United States of America"
44826,"Hugo","France"
44826,"Hugo","United States of America"
44826,"Hugo","United Kingdom"
8487,"Wild Wild West","United States of America"
1735,"The Mummy: Tomb of the Dragon Emperor","Germany"
1735,"The Mummy: Tomb of the Dragon Emperor","United States of America"
297761,"Suicide Squad","United States of America"
2698,"Evan Almighty","United States of America"
137113,"Edge of Tomorrow","Australia"
137113,"Edge of Tomorrow","United States of America"
9804,"Waterworld","United States of America"
14869,"G.I. Joe: The Rise of Cobra","Czech Republic"
14869,"G.I. Joe: The Rise of Cobra","United States of America"
150540,"Inside Out","United States of America"
278927,"The Jungle Book","United Kingdom"
278927,"The Jungle Book","United States of America"
10138,"Iron Man 2","United States of America"
58595,"Snow White and the Huntsman","United States of America"
102651,"Maleficent","United States of America"
119450,"Dawn of the Planet of the Apes","United States of America"
79698,"The Lovers","Australia"
79698,"The Lovers","Belgium"
79698,"The Lovers","India"
64686,"47 Ronin","United States of America"
100402,"Captain America: The Winter Soldier","United States of America"
10192,"Shrek Forever After","United States of America"
158852,"Tomorrowland","United States of America"
177572,"Big Hero 6","United States of America"
82690,"Wreck-It Ralph","United States of America"
5255,"The Polar Express","United States of America"
47933,"Independence Day: Resurgence","United States of America"
10191,"How to Train Your Dragon","United States of America"
296,"Terminator 3: Rise of the Machines","Germany"
296,"Terminator 3: Rise of the Machines","United Kingdom"
296,"Terminator 3: Rise of the Machines","United States of America"
118340,"Guardians of the Galaxy","United Kingdom"
118340,"Guardians of the Galaxy","United States of America"
157336,"Interstellar","Canada"
157336,"Interstellar","United States of America"
157336,"Interstellar","United Kingdom"
27205,"Inception","United Kingdom"
27205,"Inception","United States of America"
315011,"Shin Godzilla","Japan"
49051,"The Hobbit: An Unexpected Journey","New Zealand"
49051,"The Hobbit: An Unexpected Journey","United States of America"
9799,"The Fast and the Furious","Germany"
9799,"The Fast and the Furious","United States of America"
4922,"The Curious Case of Benjamin Button","United States of America"
49538,"X-Men: First Class","United States of America"
131634,"The Hunger Games: Mockingjay - Part 2","Germany"
131634,"The Hunger Games: Mockingjay - Part 2","United States of America"
27022,"The Sorcerer's Apprentice","United States of America"
503,"Poseidon","United States of America"
241259,"Alice Through the Looking Glass","United Kingdom"
241259,"Alice Through the Looking Glass","United States of America"
810,"Shrek the Third","United States of America"
68735,"Warcraft","Canada"
68735,"Warcraft","China"
68735,"Warcraft","Japan"
68735,"Warcraft","United States of America"
87101,"Terminator Genisys","United States of America"
10140,"The Chronicles of Narnia: The Voyage of the Dawn Treader","United States of America"
676,"Pearl Harbor","United States of America"
1858,"Transformers","United States of America"
1966,"Alexander","France"
1966,"Alexander","Germany"
1966,"Alexander","Italy"
1966,"Alexander","Netherlands"
1966,"Alexander","United Kingdom"
1966,"Alexander","United States of America"
675,"Harry Potter and the Order of the Phoenix","United Kingdom"
675,"Harry Potter and the Order of the Phoenix","United States of America"
674,"Harry Potter and the Goblet of Fire","United Kingdom"
674,"Harry Potter and the Goblet of Fire","United States of America"
8960,"Hancock","United States of America"
6479,"I Am Legend","United States of America"
118,"Charlie and the Chocolate Factory","Australia"
118,"Charlie and the Chocolate Factory","United Kingdom"
118,"Charlie and the Chocolate Factory","United States of America"
2062,"Ratatouille","United States of America"
272,"Batman Begins","United Kingdom"
272,"Batman Begins","United States of America"
10527,"Madagascar: Escape 2 Africa","United States of America"
18360,"Night at the Museum: Battle of the Smithsonian","United States of America"
18360,"Night at the Museum: Battle of the Smithsonian","Canada"
2080,"X-Men Origins: Wolverine","United States of America"
605,"The Matrix Revolutions","United States of America"
605,"The Matrix Revolutions","Australia"
109445,"Frozen","United States of America"
604,"The Matrix Reloaded","Australia"
604,"The Matrix Reloaded","United States of America"
76338,"Thor: The Dark World","United States of America"
76341,"Mad Max: Fury Road","Australia"
76341,"Mad Max: Fury Road","United States of America"
13448,"Angels & Demons","Italy"
13448,"Angels & Demons","United States of America"
10195,"Thor","United States of America"
13053,"Bolt","United States of America"
19585,"G-Force","United States of America"
57165,"Wrath of the Titans","Spain"
57165,"Wrath of the Titans","United States of America"
62213,"Dark Shadows","Australia"
62213,"Dark Shadows","United States of America"
177677,"Mission: Impossible - Rogue Nation","China"
177677,"Mission: Impossible - Rogue Nation","United States of America"
7978,"The Wolfman","United States of America"
5559,"Bee Movie","United States of America"
49444,"Kung Fu Panda 2","United States of America"
10196,"The Last Airbender","United States of America"
956,"Mission: Impossible III","China"
956,"Mission: Impossible III","Germany"
956,"Mission: Impossible III","United States of America"
117251,"White House Down","United States of America"
50321,"Mars Needs Moms","United States of America"
11619,"Flushed Away","United Kingdom"
11619,"Flushed Away","United States of America"
266647,"Pan","United States of America"
82703,"Mr. Peabody & Sherman","United States of America"
652,"Troy","United States of America"
652,"Troy","Malta"
652,"Troy","United Kingdom"
80321,"Madagascar 3: Europe's Most Wanted","United States of America"
36669,"Die Another Day","United Kingdom"
36669,"Die Another Day","United States of America"
43074,"Ghostbusters","United States of America"
95,"Armageddon","United States of America"
608,"Men in Black II","United States of America"
2310,"Beowulf","United States of America"
140300,"Kung Fu Panda 3","China"
140300,"Kung Fu Panda 3","United States of America"
56292,"Mission: Impossible - Ghost Protocol","Czech Republic"
56292,"Mission: Impossible - Ghost Protocol","United States of America"
56292,"Mission: Impossible - Ghost Protocol","United Arab Emirates"
81188,"Rise of the Guardians","United States of America"
7552,"Fun with Dick and Jane","United States of America"
616,"The Last Samurai","Japan"
616,"The Last Samurai","United States of America"
616,"The Last Samurai","New Zealand"
147441,"Exodus: Gods and Kings","Spain"
147441,"Exodus: Gods and Kings","United Kingdom"
147441,"Exodus: Gods and Kings","United States of America"
13475,"Star Trek","Germany"
13475,"Star Trek","United States of America"
557,"Spider-Man","United States of America"
82702,"How to Train Your Dragon 2","United States of America"
205584,"Gods of Egypt","Australia"
205584,"Gods of Egypt","United States of America"
10048,"Stealth","United States of America"
13183,"Watchmen","United States of America"
944,"Lethal Weapon 4","United States of America"
1927,"Hulk","United States of America"
72559,"G.I. Joe: Retaliation","United States of America"
7364,"Sahara","Germany"
7364,"Sahara","Spain"
7364,"Sahara","United Kingdom"
7364,"Sahara","United States of America"
2114,"Final Fantasy: The Spirits Within","Japan"
2114,"Final Fantasy: The Spirits Within","United States of America"
1771,"Captain America: The First Avenger","United States of America"
36643,"The World Is Not Enough","United Kingdom"
36643,"The World Is Not Enough","United States of America"
8619,"Master and Commander: The Far Side of the World","United States of America"
50620,"The Twilight Saga: Breaking Dawn - Part 2","United States of America"
65759,"Happy Feet Two","Australia"
1724,"The Incredible Hulk","United States of America"
267935,"The BFG","India"
267935,"The BFG","United States of America"
281957,"The Revenant","Canada"
281957,"The Revenant","Hong Kong"
281957,"The Revenant","Taiwan"
281957,"The Revenant","United States of America"
77950,"Turbo","United States of America"
44896,"Rango","United States of America"
270946,"Penguins of Madagascar","United States of America"
2503,"The Bourne Ultimatum","Germany"
2503,"The Bourne Ultimatum","United States of America"
9502,"Kung Fu Panda","United States of America"
102899,"Ant-Man","United States of America"
101299,"The Hunger Games: Catching Fire","United States of America"
228161,"Home","United States of America"
74,"War of the Worlds","United States of America"
8961,"Bad Boys II","United States of America"
417859,"Puss in Boots","United States of America"
27576,"Salt","United States of America"
86834,"Noah","United States of America"
17578,"The Adventures of Tintin","New Zealand"
17578,"The Adventures of Tintin","United States of America"
673,"Harry Potter and the Prisoner of Azkaban","United Kingdom"
673,"Harry Potter and the Prisoner of Azkaban","United States of America"
6972,"Australia","Australia"
6972,"Australia","United States of America"
6972,"Australia","United Kingdom"
82700,"After Earth","United States of America"
10567,"Dinosaur","United States of America"
181533,"Night at the Museum: Secret of the Tomb","United Kingdom"
181533,"Night at the Museum: Secret of the Tomb","United States of America"
38055,"Megamind","United States of America"
671,"Harry Potter and the Philosopher's Stone","United Kingdom"
671,"Harry Potter and the Philosopher's Stone","United States of America"
49524,"R.I.P.D.","United States of America"
22,"Pirates of the Caribbean: The Curse of the Black Pearl","United States of America"
131631,"The Hunger Games: Mockingjay - Part 1","United States of America"
591,"The Da Vinci Code","United States of America"
591,"The Da Vinci Code","Malta"
591,"The Da Vinci Code","France"
591,"The Da Vinci Code","United Kingdom"
172385,"Rio 2","United States of America"
36658,"X2","United States of America"
51497,"Fast Five","United States of America"
58574,"Sherlock Holmes: A Game of Shadows","United States of America"
18823,"Clash of the Titans","United States of America"
861,"Total Recall","United States of America"
1911,"The 13th Warrior","United States of America"
49040,"The Bourne Legacy","United States of America"
415,"Batman & Robin","United Kingdom"
415,"Batman & Robin","United States of America"
8871,"How the Grinch Stole Christmas","Germany"
8871,"How the Grinch Stole Christmas","United States of America"
435,"The Day After Tomorrow","United States of America"
955,"Mission: Impossible II","Germany"
955,"Mission: Impossible II","United States of America"
2133,"The Perfect Storm","United States of America"
1979,"Fantastic 4: Rise of the Silver Surfer","Germany"
1979,"Fantastic 4: Rise of the Silver Surfer","United Kingdom"
1979,"Fantastic 4: Rise of the Silver Surfer","United States of America"
87827,"Life of Pi","United States of America"
87827,"Life of Pi","Taiwan"
87827,"Life of Pi","United Kingdom"
1250,"Ghost Rider","United States of America"
1250,"Ghost Rider","Australia"
324668,"Jason Bourne","United Kingdom"
324668,"Jason Bourne","United States of America"
324668,"Jason Bourne","China"
9471,"Charlie's Angels: Full Throttle","United States of America"
70981,"Prometheus","United Kingdom"
70981,"Prometheus","United States of America"
10996,"Stuart Little 2","United States of America"
68724,"Elysium","United States of America"
2789,"The Chronicles of Riddick","United States of America"
97020,"RoboCop","Canada"
97020,"RoboCop","United States of America"
7459,"Speed Racer","Australia"
7459,"Speed Racer","Germany"
7459,"Speed Racer","United States of America"
42888,"How Do You Know","United States of America"
37834,"Knight and Day","United States of America"
75612,"Oblivion","United States of America"
1895,"Star Wars: Episode III - Revenge of the Sith","United States of America"
1894,"Star Wars: Episode II - Attack of the Clones","United States of America"
585,"Monsters, Inc.","United States of America"
76170,"The Wolverine","United Kingdom"
76170,"The Wolverine","United States of America"
1893,"Star Wars: Episode I - The Phantom Menace","United States of America"
49519,"The Croods","United States of America"
2395,"Asterix at the Olympic Games","Belgium"
2395,"Asterix at the Olympic Games","France"
2395,"Asterix at the Olympic Games","Germany"
2395,"Asterix at the Olympic Games","Italy"
2395,"Asterix at the Olympic Games","Spain"
12100,"Windtalkers","United States of America"
290595,"The Huntsman: Winter's War","United States of America"
98566,"Teenage Mutant Ninja Turtles","United States of America"
49047,"Gravity","United Kingdom"
49047,"Gravity","United States of America"
9619,"Dante's Peak","United States of America"
308531,"Teenage Mutant Ninja Turtles: Out of the Shadows","China"
308531,"Teenage Mutant Ninja Turtles: Out of the Shadows","United States of America"
308531,"Teenage Mutant Ninja Turtles: Out of the Shadows","Hong Kong"
166424,"Fantastic Four","United States of America"
1593,"Night at the Museum","United States of America"
1593,"Night at the Museum","United Kingdom"
254128,"San Andreas","Canada"
254128,"San Andreas","United States of America"
254128,"San Andreas","Australia"
714,"Tomorrow Never Dies","United Kingdom"
714,"Tomorrow Never Dies","United States of America"
2024,"The Patriot","Germany"
2024,"The Patriot","United States of America"
163,"Ocean's Twelve","United States of America"
787,"Mr. & Mrs. Smith","United States of America"
262500,"Insurgent","United States of America"
2567,"The Aviator","United States of America"
38745,"Gulliver's Travels","United States of America"
40805,"The Green Hornet","United States of America"
53182,"300: Rise of an Empire","United States of America"
41513,"The Smurfs","United States of America"
13700,"Home on the Range","United States of America"
262504,"Allegiant","United States of America"
39254,"Real Steel","India"
39254,"Real Steel","United States of America"
77931,"The Smurfs 2","United States of America"
1639,"Speed 2: Cruise Control","United States of America"
80274,"Ender's Game","United States of America"
1571,"Live Free or Die Hard","United Kingdom"
1571,"Live Free or Die Hard","United States of America"
120,"The Lord of the Rings: The Fellowship of the Ring","New Zealand"
120,"The Lord of the Rings: The Fellowship of the Ring","United States of America"
10204,"Around the World in 80 Days","Germany"
10204,"Around the World in 80 Days","Ireland"
10204,"Around the World in 80 Days","United Kingdom"
10204,"Around the World in 80 Days","United States of America"
8489,"Ali","United States of America"
10588,"The Cat in the Hat","United States of America"
2048,"I, Robot","United States of America"
2048,"I, Robot","Germany"
1495,"Kingdom of Heaven","Germany"
1495,"Kingdom of Heaven","Morocco"
1495,"Kingdom of Heaven","Spain"
1495,"Kingdom of Heaven","United Kingdom"
1495,"Kingdom of Heaven","United States of America"
10137,"Stuart Little","Germany"
10137,"Stuart Little","United States of America"
10198,"The Princess and the Frog","United States of America"
286217,"The Martian","United States of America"
1635,"The Island","United States of America"
9679,"Gone in Sixty Seconds","United States of America"
98,"Gladiator","United Kingdom"
98,"Gladiator","United States of America"
180,"Minority Report","United States of America"
672,"Harry Potter and the Chamber of Secrets","Germany"
672,"Harry Potter and the Chamber of Secrets","United Kingdom"
672,"Harry Potter and the Chamber of Secrets","United States of America"
36557,"Casino Royale","Italy"
36557,"Casino Royale","United Kingdom"
36557,"Casino Royale","United States of America"
36557,"Casino Royale","Czech Republic"
36557,"Casino Royale","Germany"
869,"Planet of the Apes","United States of America"
280,"Terminator 2: Judgment Day","France"
280,"Terminator 2: Judgment Day","United States of America"
11322,"Public Enemies","United States of America"
4982,"American Gangster","United Kingdom"
4982,"American Gangster","United States of America"
36955,"True Lies","United States of America"
18487,"The Taking of Pelham 1 2 3","United States of America"
39451,"Little Fockers","United States of America"
27581,"The Other Guys","United States of America"
9268,"Eraser","Canada"
9268,"Eraser","United States of America"
68718,"Django Unchained","United States of America"
10545,"The Hunchback of Notre Dame","United States of America"
11688,"The Emperor's New Groove","United States of America"
76163,"The Expendables 2","United States of America"
2059,"National Treasure","United States of America"
2486,"Eragon","United Kingdom"
2486,"Eragon","United States of America"
2486,"Eragon","Hungary"
16523,"Where the Wild Things Are","United States of America"
116711,"Epic","United States of America"
37710,"The Tourist","United Kingdom"
37710,"The Tourist","United States of America"
37710,"The Tourist","France"
37710,"The Tourist","Italy"
9946,"End of Days","United States of America"
1372,"Blood Diamond","Germany"
1372,"Blood Diamond","United States of America"
106646,"The Wolf of Wall Street","United States of America"
414,"Batman Forever","United Kingdom"
414,"Batman Forever","United States of America"
563,"Starship Troopers","United States of America"
83542,"Cloud Atlas","Germany"
83542,"Cloud Atlas","Hong Kong"
83542,"Cloud Atlas","Singapore"
83542,"Cloud Atlas","United States of America"
41216,"Legend of the Guardians: The Owls of Ga'Hoole","Australia"
41216,"Legend of the Guardians: The Owls of Ga'Hoole","United States of America"
314,"Catwoman","United States of America"
184315,"Hercules","United States of America"
9016,"Treasure Planet","United States of America"
18162,"Land of the Lost","United States of America"
138103,"The Expendables 3","France"
138103,"The Expendables 3","United States of America"
257088,"Point Break","Germany"
257088,"Point Break","United States of America"
257088,"Point Break","China"
10214,"Son of the Mask","Germany"
10214,"Son of the Mask","United States of America"
205775,"In the Heart of the Sea","United States of America"
11692,"The Adventures of Pluto Nash","Australia"
11692,"The Adventures of Pluto Nash","United States of America"
22972,"Green Zone","Spain"
22972,"Green Zone","United Kingdom"
22972,"Green Zone","United States of America"
22972,"Green Zone","France"
227973,"The Peanuts Movie","United States of America"
29193,"The Spanish Prisoner","United States of America"
1734,"The Mummy Returns","United States of America"
3131,"Gangs of New York","United States of America"
3131,"Gangs of New York","Italy"
76758,"The Flowers of War","China"
76758,"The Flowers of War","Hong Kong"
9408,"Surf's Up","United States of America"
9890,"The Stepford Wives","United States of America"
855,"Black Hawk Down","United Kingdom"
855,"Black Hawk Down","United States of America"
77953,"The Campaign","United States of America"
18,"The Fifth Element","France"
37786,"Sex and the City 2","United States of America"
10501,"The Road to El Dorado","United States of America"
57800,"Ice Age: Continental Drift","United States of America"
150689,"Cinderella","United Kingdom"
150689,"Cinderella","United States of America"
7980,"The Lovely Bones","United Kingdom"
7980,"The Lovely Bones","New Zealand"
7980,"The Lovely Bones","United States of America"
12,"Finding Nemo","United States of America"
122,"The Lord of the Rings: The Return of the King","New Zealand"
122,"The Lord of the Rings: The Return of the King","United States of America"
121,"The Lord of the Rings: The Two Towers","New Zealand"
121,"The Lord of the Rings: The Two Towers","United States of America"
68737,"Seventh Son","China"
68737,"Seventh Son","Canada"
68737,"Seventh Son","United States of America"
68737,"Seventh Son","United Kingdom"
1995,"Lara Croft: Tomb Raider","United States of America"
157353,"Transcendence","China"
157353,"Transcendence","United Kingdom"
157353,"Transcendence","United States of America"
331,"Jurassic Park III","United States of America"
61791,"Rise of the Planet of the Apes","United States of America"
8204,"The Spiderwick Chronicles","United States of America"
47964,"A Good Day to Die Hard","United States of America"
10733,"The Alamo","United States of America"
9806,"The Incredibles","United States of America"
1408,"Cutthroat Island","France"
1408,"Cutthroat Island","Germany"
1408,"Cutthroat Island","Italy"
1408,"Cutthroat Island","United States of America"
32657,"Percy Jackson & the Olympians: The Lightning Thief","Canada"
32657,"Percy Jackson & the Olympians: The Lightning Thief","United States of America"
607,"Men in Black","United States of America"
863,"Toy Story 2","United States of America"
44048,"Unstoppable","United States of America"
5175,"Rush Hour 2","United States of America"
2655,"What Lies Beneath","United States of America"
22794,"Cloudy with a Chance of Meatballs","United States of America"
8355,"Ice Age: Dawn of the Dinosaurs","United States of America"
116745,"The Secret Life of Walter Mitty","United States of America"
4327,"Charlie's Angels","United States of America"
1422,"The Departed","Hong Kong"
1422,"The Departed","United States of America"
10674,"Mulan","United States of America"
7446,"Tropic Thunder","United States of America"
7446,"Tropic Thunder","United Kingdom"
7446,"Tropic Thunder","Germany"
65754,"The Girl with the Dragon Tattoo","Norway"
65754,"The Girl with the Dragon Tattoo","Sweden"
65754,"The Girl with the Dragon Tattoo","United States of America"
1572,"Die Hard: With a Vengeance","United States of America"
10528,"Sherlock Holmes","Germany"
10528,"Sherlock Holmes","United Kingdom"
10528,"Sherlock Holmes","United States of America"
271969,"Ben-Hur","United States of America"
10865,"Atlantis: The Lost Empire","United States of America"
258509,"Alvin and the Chipmunks: The Road Chip","United States of America"
2253,"Valkyrie","Germany"
2253,"Valkyrie","United States of America"
10661,"You Don't Mess with the Zohan","United States of America"
257344,"Pixels","United States of America"
644,"A.I. Artificial Intelligence","United States of America"
10756,"The Haunted Mansion","United States of America"
686,"Contact","United States of America"
9383,"Hollow Man","Germany"
9383,"Hollow Man","United States of America"
179,"The Interpreter","France"
179,"The Interpreter","Germany"
179,"The Interpreter","United Kingdom"
179,"The Interpreter","United States of America"
76285,"Percy Jackson: Sea of Monsters","United States of America"
1996,"Lara Croft Tomb Raider: The Cradle of Life","United States of America"
1996,"Lara Croft Tomb Raider: The Cradle of Life","Germany"
1996,"Lara Croft Tomb Raider: The Cradle of Life","Japan"
1996,"Lara Croft Tomb Raider: The Cradle of Life","United Kingdom"
291805,"Now You See Me 2","Canada"
291805,"Now You See Me 2","China"
291805,"Now You See Me 2","United Kingdom"
291805,"Now You See Me 2","United States of America"
10003,"The Saint","United States of America"
1535,"Spy Game","United Kingdom"
1535,"Spy Game","United States of America"
2067,"Mission to Mars","United States of America"
46195,"Rio","United States of America"
2277,"Bicentennial Man","Germany"
2277,"Bicentennial Man","United States of America"
10357,"Volcano","United States of America"
4477,"The Devil's Own","United States of America"
8665,"K-19: The Widowmaker","Canada"
8665,"K-19: The Widowmaker","Germany"
8665,"K-19: The Widowmaker","United Kingdom"
8665,"K-19: The Widowmaker","United States of America"
9387,"Conan the Barbarian","United States of America"
921,"Cinderella Man","United States of America"
49852,"The Nutcracker: The Untold Story","United Kingdom"
49852,"The Nutcracker: The Untold Story","Hungary"
4464,"Seabiscuit","United States of America"
664,"Twister","United States of America"
8358,"Cast Away","United States of America"
9836,"Happy Feet","Australia"
2502,"The Bourne Supremacy","Germany"
2502,"The Bourne Supremacy","United States of America"
9772,"Air Force One","Germany"
9772,"Air Force One","United States of America"
161,"Ocean's Eleven","United States of America"
52451,"The Three Musketeers","United States of America"
52451,"The Three Musketeers","Germany"
52451,"The Three Musketeers","France"
52451,"The Three Musketeers","United Kingdom"
76492,"Hotel Transylvania","United States of America"
4523,"Enchanted","United States of America"
59961,"Safe House","United States of America"
10481,"102 Dalmatians","United States of America"
59108,"Tower Heist","United States of America"
1581,"The Holiday","United Kingdom"
1581,"The Holiday","United States of America"
9798,"Enemy of the State","United States of America"
22897,"It's Complicated","United States of America"
298,"Ocean's Thirteen","United States of America"
7484,"Open Season","United States of America"
157350,"Divergent","United States of America"
853,"Enemy at the Gates","Ireland"
853,"Enemy at the Gates","United States of America"
853,"Enemy at the Gates","Germany"
853,"Enemy at the Gates","United Kingdom"
10159,"The Rundown","United States of America"
9593,"Last Action Hero","United States of America"
1904,"Memoirs of a Geisha","United States of America"
9615,"The Fast and the Furious: Tokyo Drift","Japan"
9615,"The Fast and the Furious: Tokyo Drift","United States of America"
51052,"Arthur Christmas","United States of America"
297,"Meet Joe Black","United States of America"
9884,"Collateral Damage","United States of America"
16858,"All That Jazz","United States of America"
62764,"Mirror Mirror","United States of America"
22538,"Scott Pilgrim vs. the World","United States of America"
22538,"Scott Pilgrim vs. the World","Canada"
9341,"The Core","United States of America"
9341,"The Core","Canada"
9341,"The Core","Germany"
12107,"Nutty Professor II: The Klumps","United States of America"
9637,"Scooby-Doo","United States of America"
49049,"Dredd","South Africa"
49049,"Dredd","United Kingdom"
49049,"Dredd","United States of America"
49049,"Dredd","India"
9339,"Click","United States of America"
16281,"Creepshow","United States of America"
39691,"Cats & Dogs 2 : The Revenge of Kitty Galore","United States of America"
39691,"Cats & Dogs 2 : The Revenge of Kitty Galore","Australia"
8247,"Jumper","Canada"
8247,"Jumper","United States of America"
11253,"Hellboy II: The Golden Army","Germany"
11253,"Hellboy II: The Golden Army","United States of America"
1949,"Zodiac","United States of America"
8452,"The 6th Day","United States of America"
310,"Bruce Almighty","United States of America"
27578,"The Expendables","United States of America"
954,"Mission: Impossible","United States of America"
70160,"The Hunger Games","United States of America"
45243,"The Hangover Part II","United States of America"
364,"Batman Returns","United Kingdom"
364,"Batman Returns","United States of America"
7518,"Over the Hedge","United States of America"
11544,"Lilo & Stitch","United States of America"
9986,"Charlotte's Web","Germany"
9986,"Charlotte's Web","United States of America"
8656,"Deep Impact","United States of America"
146216,"RED 2","Canada"
146216,"RED 2","France"
146216,"RED 2","United States of America"
9291,"The Longest Yard","United States of America"
55301,"Alvin and the Chipmunks: Chipwrecked","United States of America"
109418,"Grown Ups 2","United States of America"
11665,"Get Smart","Canada"
11665,"Get Smart","Russia"
11665,"Get Smart","United States of America"
6964,"Something's Gotta Give","United States of America"
11324,"Shutter Island","United States of America"
12193,"Four Christmases","United States of America"
9928,"Robots","United States of America"
754,"Face/Off","United States of America"
10202,"Bedtime Stories","United States of America"
4147,"Road to Perdition","United States of America"
50546,"Just Go with It","United States of America"
1701,"Con Air","United States of America"
13027,"Eagle Eye","United States of America"
13027,"Eagle Eye","Germany"
2289,"Cold Mountain","United States of America"
2289,"Cold Mountain","United Kingdom"
2289,"Cold Mountain","Romania"
2289,"Cold Mountain","Italy"
20504,"The Book of Eli","United States of America"
9574,"Flubber","United States of America"
11618,"The Haunting","United States of America"
2300,"Space Jam","United States of America"
12096,"The Pink Panther","United States of America"
10200,"The Day the Earth Stood Still","Canada"
10200,"The Day the Earth Stood Still","United States of America"
8834,"Conspiracy Theory","United States of America"
228150,"Fury","United Kingdom"
228150,"Fury","United States of America"
228150,"Fury","China"
6068,"Six Days Seven Nights","United States of America"
41515,"Yogi Bear","United States of America"
41515,"Yogi Bear","New Zealand"
9023,"Spirit: Stallion of the Cimarron","United States of America"
38317,"Zookeeper","United States of America"
2157,"Lost in Space","United States of America"
14462,"The Manchurian Candidate","United States of America"
